letter,weight,rel_weight,x_avg,y_avg,rel_x_avg,rel_y_avg,inertia_x,inertia_y,rel_inertia_x,rel_inertia_y
А,1069,0.21834150326797386,37.79981290926099,39.90551917680075,0.5183072240740985,0.5806793906985187,852.650926134161,905.6777760179073,0.08693422982607676,0.09234071941455009
Б,1337,0.3695411829740188,25.698578908002993,35.25430067314884,0.46601092279250933,0.5190045556537703,640.161909274551,280.4184459453034,0.0864499539871102,0.037868797561823556
В,1595,0.390261805725471,30.97742946708464,33.47335423197492,0.4996238244514107,0.4920205186662867,441.9484718114012,651.6096441662326,0.053830508137807695,0.07936780075106364
Г,891,0.2417910447761194,18.58249158249158,28.938271604938272,0.32560169597206634,0.42330714552936777,20.999229103606197,578.9667733577198,0.0027946804769239018,0.07705173986661164
Д,1442,0.25405214940098664,37.50762829403606,40.27600554785021,0.5616558199082471,0.46207065350412013,2255.525370257444,562.827912765634,0.19192693756445237,0.0478920960488116
Е,1102,0.2885572139303483,23.314882032667878,33.327586206896555,0.39848003629764067,0.48981191222570536,712.0955209304317,514.0383472057073,0.09202578456066576,0.0664303886282899
Ё,1280,0.2673350041771094,23.99765625,44.02421875,0.41067243303571427,0.5183640813253012,1849.2015679931642,143.4193365478515,0.17944702260971995,0.013917451387467392
Ж,1926,0.3182419035029742,44.12876427829699,34.68535825545171,0.49009959407155673,0.5027665411261449,523.0934234377038,2842.451024349531,0.04169736336689548,0.22658039253483708
З,965,0.3178524374176548,27.89119170984456,33.06632124352332,0.625376551391734,0.4715635476988723,630.4522537517786,98.6779736368761,0.09413950332264874,0.014734653372685695
И,1671,0.35628997867803835,34.128665469778575,32.970077797725914,0.48012558651853005,0.4843951181473623,1015.7819647372845,1227.095449497375,0.10818851472332351,0.13069501006469006
Й,1917,0.3112012987012987,34.21544079290558,48.02190923317684,0.48138319989718237,0.5404817153238718,2786.209690687256,399.1241106874247,0.22035824823530972,0.031566285248926344
К,1398,0.3114973262032086,27.414163090128756,34.741773962804004,0.40637173984813474,0.503608566609015,1567.0384838549248,856.0437908436537,0.17450317192148385,0.09532781635229996
Л,1156,0.25757575757575757,39.03719723183391,34.0181660899654,0.5851876497205216,0.49280844910396115,726.9927331150251,959.8740324289699,0.08095687451169545,0.10689020405667816
М,1851,0.321242624088858,44.50513236088601,33.19448946515397,0.5118250865986589,0.4877952949265753,462.0293348230299,2683.810921776043,0.03887499661952292,0.22581497027985217
Н,1583,0.33752665245202557,34.94883133291219,32.98041692987997,0.49201204830307527,0.4845517716648481,964.1750755919356,1226.3711984050374,0.10269198802768513,0.13061787180797074
О,1320,0.2898550724637681,32.290151515151514,34.21515151515152,0.48138694638694635,0.4884581105169341,75.86146062901746,887.1371992653809,0.008320879744325705,0.0973058242037272
П,1528,0.3257995735607676,33.98560209424084,32.28337696335078,0.47805220426436,0.47399056005076945,1024.9216732682764,1275.6771611421016,0.10916196328344621,0.13586933231889461
Р,1136,0.32606199770378874,23.7693661971831,28.023767605633804,0.4464581607290804,0.4094510243277849,3.1306567397341842,482.9547902511902,0.0004352365827518677,0.06714233146825944
С,951,0.22594440484675696,21.272344900105153,33.40483701366982,0.3378724150017526,0.47654172078926205,1006.6440981378835,655.1123682968065,0.11868003986534821,0.07723560107248367
Т,870,0.23187633262260127,27.119540229885057,27.677011494252874,0.4749007314524556,0.40419714385231625,199.3614163033426,692.8997238736954,0.02614575951519247,0.09087209493425513
У,1009,0.2150468883205456,30.730426164519326,27.709613478691775,0.4372121494782254,0.3986509474431608,883.8982399239353,1543.7344729937988,0.0941820181059068,0.16448955492741596
Ф,1739,0.3555510120629728,36.01725129384704,33.14261069580218,0.4863507124145422,0.4870092529666997,8.896789844057162,1433.1819249295913,0.0009061713021040091,0.14597493633424236
Х,1275,0.26430348258706465,36.026666666666664,32.98901960784314,0.4933333333333333,0.4846821152703506,898.4007111111113,1369.8126695886197,0.09287715404849697,0.14161197866107925
Ц,1650,0.27408637873754155,36.12909090909091,36.55030303030303,0.5091172595520422,0.4182388591800356,2388.3657553719004,989.0834394857669,0.1942392449066282,0.08043944693280472
Ч,1312,0.30597014925373134,35.416158536585364,28.040396341463413,0.5462882307394502,0.40970297487065777,935.3713586592803,1153.2546806448916,0.10895414777627027,0.1343336844082576
Ш,2233,0.34359132174180645,47.09135691894313,33.916256157635466,0.4801183012389909,0.49873115390356765,357.5367831668,3731.223761799607,0.025725772281393004,0.26847199322201803
Щ,2356,0.28242627667226083,49.371392190152804,35.9223259762309,0.5038686686474251,0.4108508938380106,1269.3976944679046,3490.171568058722,0.07553690535363906,0.20768649616535093
Ъ,1262,0.28539122568973313,35.05467511885895,36.20998415213946,0.5239180787516762,0.5334846083657494,287.14403532741784,772.2849808243399,0.032463994949397154,0.08731316911524475
Ы,1950,0.3424056189640035,41.16102564102564,36.23128205128205,0.4781074481074481,0.5338073038073038,616.9746472057858,2187.3129785667325,0.05266985207493476,0.18672639393603657
Ь,1229,0.3396904367053621,24.331977217249797,38.03336045565501,0.44022598523112827,0.5611115220553788,711.1834391412839,195.0670201616613,0.0960409776017939,0.02634260906977195
Э,995,0.23639819434545023,38.835175879396985,31.979899497487438,0.6305862646566164,0.45558675731599174,4.6864634731446175,730.0858311658797,0.0005525186834643501,0.08607472661705726
Ю,2115,0.3096179183135705,46.085579196217495,34.15413711583924,0.4600569305736479,0.4875608399388124,37.03427415343517,3949.6024816547347,0.002543213442757531,0.27122665029904786
